epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.75,1.04264,1.02176,1.13252,0.94344,0.54545,0.62002,0.486,1.01962,0.77344,1.11462,0.000412234,0.000412234,0.000412234
2,219.743,0.84635,0.59019,1.01417,0.9597,0.65678,0.71159,0.5682,0.91729,0.64304,1.05818,0.000826165,0.000826165,0.000826165
3,355.967,0.80081,0.55216,0.99256,0.96346,0.64745,0.69345,0.57482,0.88877,0.57024,1.05325,0.00123735,0.00123735,0.00123735
4,501.696,0.77366,0.52668,0.9839,0.60917,0.81671,0.69572,0.59315,0.78702,0.51046,0.993,0.00123763,0.00123763,0.00123763
5,634.593,0.75111,0.49519,0.97492,0.76058,0.78296,0.71793,0.61954,0.82276,0.51349,1.03771,0.0012335,0.0012335,0.0012335
6,715.636,0.70204,0.45458,0.9581,0.67493,0.65021,0.67072,0.57575,0.82283,0.51612,1.03338,0.00122937,0.00122937,0.00122937
7,790.596,0.6892,0.44718,0.94899,0.81145,0.72067,0.71171,0.63122,0.74385,0.46764,0.98913,0.00122525,0.00122525,0.00122525
8,903.631,0.67171,0.43087,0.94004,0.6713,0.85491,0.8511,0.77435,0.75819,0.4382,0.97317,0.00122112,0.00122112,0.00122112
9,980.414,0.66201,0.41577,0.9429,0.97838,0.69661,0.71726,0.63639,0.78271,0.46252,1.00478,0.001217,0.001217,0.001217
10,1068.65,0.65125,0.40506,0.93751,0.9232,0.66203,0.82606,0.73168,0.76062,0.46549,0.97771,0.00121287,0.00121287,0.00121287
11,1185.96,0.64559,0.40469,0.93889,0.84531,0.77115,0.81684,0.73749,0.72058,0.4467,0.99011,0.00120875,0.00120875,0.00120875
12,1382.98,0.63392,0.38971,0.92603,0.72671,0.80235,0.78268,0.69682,0.75831,0.42679,1.01901,0.00120462,0.00120462,0.00120462
13,1475.48,0.60403,0.3721,0.917,0.68764,0.85428,0.78372,0.70778,0.74053,0.4141,0.99405,0.0012005,0.0012005,0.0012005
14,1568.03,0.60845,0.36935,0.92099,0.95745,0.68412,0.72769,0.64654,0.75065,0.42637,0.99549,0.00119637,0.00119637,0.00119637
15,1680.01,0.58965,0.36583,0.91318,0.95685,0.6906,0.75432,0.67871,0.72351,0.40971,1.00061,0.00119225,0.00119225,0.00119225
16,1855.25,0.56466,0.34841,0.90376,0.94847,0.67286,0.74976,0.68626,0.7225,0.40506,0.98483,0.00118812,0.00118812,0.00118812
17,1984.79,0.57034,0.35549,0.90791,0.94527,0.70449,0.72584,0.64915,0.70896,0.40873,0.99384,0.001184,0.001184,0.001184
18,2198.83,0.57326,0.3572,0.91066,0.95117,0.76189,0.85488,0.77484,0.72151,0.40296,0.98007,0.00117988,0.00117988,0.00117988
19,2273.35,0.55969,0.3503,0.90391,0.95273,0.68185,0.72709,0.66007,0.71317,0.40923,0.99074,0.00117575,0.00117575,0.00117575
20,2347.88,0.56836,0.34565,0.90265,0.94353,0.67344,0.72302,0.6445,0.67709,0.39651,0.95939,0.00117163,0.00117163,0.00117163
21,2422.31,0.55937,0.34265,0.9017,0.80663,0.81263,0.78043,0.71108,0.67593,0.39169,0.9507,0.0011675,0.0011675,0.0011675
22,2506.34,0.55197,0.33415,0.90423,0.93035,0.62996,0.74282,0.67676,0.68068,0.40367,0.96126,0.00116337,0.00116337,0.00116337
23,2581.17,0.54201,0.33193,0.89757,0.70454,0.71992,0.7768,0.70055,0.69208,0.38473,0.98479,0.00115925,0.00115925,0.00115925
24,2656.27,0.54186,0.32908,0.89241,0.97088,0.63143,0.66298,0.58869,0.68582,0.41696,0.96236,0.00115513,0.00115513,0.00115513
25,2731.56,0.53739,0.32152,0.8901,0.78639,0.79305,0.82926,0.76412,0.6863,0.38059,0.97658,0.001151,0.001151,0.001151
26,2806.63,0.52536,0.31626,0.88551,0.66625,0.69487,0.78963,0.72545,0.67503,0.36298,0.96961,0.00114688,0.00114688,0.00114688
27,2884.32,0.52393,0.31441,0.88969,0.94387,0.70215,0.75225,0.69463,0.65877,0.37071,0.95446,0.00114275,0.00114275,0.00114275
28,2959.52,0.51952,0.31536,0.88524,0.92541,0.65359,0.69402,0.63161,0.7015,0.39909,0.9815,0.00113863,0.00113863,0.00113863
29,3034.33,0.52523,0.31449,0.89166,0.79706,0.81406,0.84179,0.7582,0.68052,0.3756,0.97912,0.0011345,0.0011345,0.0011345
30,3108.89,0.50896,0.30774,0.87969,0.92383,0.79915,0.83879,0.75782,0.68171,0.36529,0.97853,0.00113038,0.00113038,0.00113038
31,3183.26,0.49285,0.2948,0.87661,0.90004,0.82446,0.87713,0.81722,0.69013,0.36755,0.98138,0.00112625,0.00112625,0.00112625
32,3257.84,0.50166,0.2986,0.87654,0.80966,0.97389,0.93202,0.85817,0.66974,0.35916,0.97093,0.00112213,0.00112213,0.00112213
33,3332.45,0.48369,0.29399,0.87839,0.83443,0.81837,0.84382,0.77294,0.6562,0.34848,0.98115,0.001118,0.001118,0.001118
34,3406.78,0.48233,0.28711,0.87223,0.73363,0.85214,0.77761,0.71148,0.68448,0.35301,0.98539,0.00111388,0.00111388,0.00111388
35,3481.68,0.48194,0.29288,0.87408,0.80954,0.84085,0.80259,0.7234,0.69103,0.35537,0.98863,0.00110975,0.00110975,0.00110975
36,3556.08,0.47163,0.285,0.87096,0.72815,0.85064,0.77729,0.71406,0.6621,0.36084,0.976,0.00110563,0.00110563,0.00110563
37,3630.63,0.49447,0.29481,0.8777,0.82485,0.75695,0.86001,0.80054,0.67197,0.35273,0.99266,0.0011015,0.0011015,0.0011015
38,3705.05,0.48059,0.28885,0.87615,0.87481,0.83289,0.86165,0.79707,0.69585,0.36064,1.00098,0.00109738,0.00109738,0.00109738
39,3779.11,0.49279,0.2927,0.87649,0.93532,0.80873,0.83641,0.76392,0.67541,0.35114,0.96596,0.00109325,0.00109325,0.00109325
40,3854.15,0.47836,0.28877,0.87179,0.94647,0.75252,0.81844,0.75088,0.70602,0.38289,1.0001,0.00108913,0.00108913,0.00108913
41,3929.79,0.46124,0.277,0.86654,0.82333,0.78016,0.84332,0.78179,0.66678,0.35426,0.99955,0.001085,0.001085,0.001085
42,4004.49,0.47713,0.28455,0.86997,0.83585,0.80132,0.88183,0.81206,0.67651,0.34223,0.96671,0.00108088,0.00108088,0.00108088
43,4079.07,0.48251,0.28325,0.87209,0.9272,0.78774,0.86299,0.79205,0.6661,0.34982,0.95952,0.00107675,0.00107675,0.00107675
44,4154.18,0.45729,0.27406,0.86179,0.93651,0.79932,0.86973,0.80819,0.67705,0.35255,0.99393,0.00107263,0.00107263,0.00107263
45,4229.08,0.44955,0.26689,0.86658,0.94799,0.78767,0.84638,0.77747,0.68039,0.36677,1.01077,0.0010685,0.0010685,0.0010685
46,4304.2,0.44129,0.26515,0.86313,0.94769,0.80747,0.8608,0.79315,0.70991,0.3595,0.9946,0.00106437,0.00106437,0.00106437
47,4379.02,0.44104,0.26904,0.85958,0.91143,0.82301,0.87774,0.81069,0.67343,0.35144,0.96788,0.00106025,0.00106025,0.00106025
48,4453.62,0.45318,0.27143,0.86344,0.9338,0.80116,0.87794,0.80397,0.67488,0.36863,0.97567,0.00105612,0.00105612,0.00105612
49,4528.63,0.44589,0.27254,0.86092,0.84989,0.81046,0.87808,0.80669,0.66762,0.35654,0.97984,0.001052,0.001052,0.001052
50,4603.24,0.44869,0.26929,0.85935,0.94712,0.7929,0.82806,0.7607,0.68883,0.34651,1.00466,0.00104787,0.00104787,0.00104787
51,4678.04,0.45499,0.27022,0.86802,0.94015,0.76782,0.86702,0.81066,0.65694,0.34222,0.9893,0.00104375,0.00104375,0.00104375
